"sum_imp"	"sum_clk"	"sum_conv"	"sum_cost"	"ctr"	"cvr"	"imr"	"cpm"	"cpc"	"cpl"
"2014/7/17"	112821	604	0	97.64305	0.00535361324576098	0	0	0.865468751384937	0.161660678807947	Inf
"2014/7/18"	891543	841	1	193.54728	0.000943308399034034	0.00118906064209275	1.12165089064689e-06	0.217092478994283	0.230139453032105	193.54728
"2014/7/19"	711807	871	0	198.44504	0.00122364629738117	0	0	0.278790514844614	0.227835866819747	Inf
"2014/7/20"	722885	874	1	212.64545	0.00120904431548587	0.0011441647597254	1.38334589872525e-06	0.294162211140085	0.24330143020595	212.64545
"2014/7/21"	260887	258	1	70.16824	0.000988933906250599	0.00387596899224806	3.83307715601007e-06	0.268960277821432	0.27196992248062	70.16824
"2014/7/28"	418340	1160	15	240.45389	0.00277286417746331	0.0129310344827586	3.58560022947841e-05	0.574781015441985	0.207287836206897	16.0302593333333
"2014/7/29"	1268880	1039	44	281.55443	0.000818832356093563	0.0423484119345525	3.46762499211903e-05	0.221892085934052	0.270985976900866	6.39896431818182
"2014/7/30"	3314745	1347	65	274.42909	0.000406366100559772	0.0482553823311062	1.96093515489125e-05	0.0827904077085869	0.203733548626578	4.221986
"2014/7/31"	3285286	1206	67	259.95195	0.000367091327817426	0.0555555555555556	2.03939626565237e-05	0.079126124787918	0.215548880597015	3.87987985074627
"2014/8/1"	3166334	974	55	237.29024	0.000307611262741075	0.0564681724845996	1.73702458426685e-05	0.0749416328157421	0.243624476386037	4.314368
"2014/8/2"	3068703	1120	67	235.42568	0.000364975039943585	0.0598214285714286	2.18333282823395e-05	0.0767183008587015	0.2102015	3.51381611940299
"2014/8/3"	2867464	1103	88	226.93097	0.000384660452581096	0.0797824116047144	3.06891385558807e-05	0.079139954328982	0.205739773345422	2.57876102272727
"2014/8/4"	3286984	1622	73	377.24776	0.000493461483232045	0.0450061652281134	2.22088090480513e-05	0.114770184460892	0.232581849568434	5.16777753424658
"2014/8/5"	2456497	806	53	204.00393	0.000328109499014247	0.0657568238213399	2.15754385207879e-05	0.0830466839568703	0.253106612903226	3.84913075471698
"2014/8/6"	2250239	710	55	199.85493	0.000315522040103296	0.0774647887323944	2.44418481770159e-05	0.0888149792088751	0.281485816901408	3.633726
"2014/8/7"	1996401	609	35	195.24231	0.000305048935559539	0.0574712643678161	1.75315480206632e-05	0.0977971409551488	0.320594926108374	5.57835171428571
