,,,,,,,,,,,,
Impression date,Advertiser name,IO name,Package name,Impressions,Clicks,CTR,Click-based actions,Contract actions,Adv eCPM,Adv eCPC,Adv Contract eCPA,Adv Invoice
2014/7/17,Vpon - La Roche,La Roche Mobile,Laroche mobile PT - web iOS,1803,2,0.11%,0,0,0.87685,0.79048,0,1.58096
2014/7/17,Vpon - La Roche,La Roche Mobile,Laroche mobile PT - web non iOS,4589,2,0.04%,0,0,0.82241,1.88703,0,3.77405
2014/7/17,Vpon - La Roche,La Roche Mobile,Laroche mobile PT - in app non iOS,47520,276,0.58%,0,0,0.97044,0.16708,0,46.11531
2014/7/17,Vpon - La Roche,La Roche Mobile,Laroche mobile PT - in app iOS,58909,324,0.55%,0,0,0.7838,0.14251,0,46.17273
2014/7/18,Vpon - La Roche,La Roche Mobile,Laroche mobile PT - web iOS,228322,165,0.07%,0,0,0.21189,0.29321,0,48.38011
2014/7/18,Vpon - La Roche,La Roche Mobile,Laroche mobile PT - web non iOS,206088,258,0.13%,1,1,0.2348,0.18756,48.38963,48.38963
2014/7/18,Vpon - La Roche,La Roche Mobile,Laroche mobile PT - in app non iOS,174429,169,0.10%,0,0,0.2774,0.28631,0,48.38688
2014/7/18,Vpon - La Roche,La Roche Mobile,Laroche mobile PT - in app iOS,282704,249,0.09%,0,0,0.17117,0.19434,0,48.39066
2014/7/19,Vpon - La Roche,La Roche Mobile,Laroche mobile PT - web non iOS,138889,233,0.17%,0,0,0.36418,0.21708,0,50.57994
2014/7/19,Vpon - La Roche,La Roche Mobile,Laroche mobile PT - web iOS,167091,151,0.09%,0,0,0.31423,0.34771,0,52.50419
2014/7/19,Vpon - La Roche,La Roche Mobile,Laroche mobile PT - in app non iOS,83468,79,0.10%,0,0,0.3198,0.33789,0,26.6934
2014/7/19,Vpon - La Roche,La Roche Mobile,Laroche mobile PT - in app iOS,322359,408,0.13%,0,0,0.21302,0.1683,0,68.66751
2014/7/20,Vpon - La Roche,La Roche Mobile,Laroche mobile PT - in app non iOS,136670,217,0.16%,0,0,0.34679,0.21841,0,47.39594
2014/7/20,Vpon - La Roche,La Roche Mobile,Laroche mobile PT - web iOS,199698,203,0.10%,1,1,0.32805,0.32272,65.51185,65.51185
2014/7/20,Vpon - La Roche,La Roche Mobile,Laroche mobile PT - web non iOS,165006,259,0.16%,0,0,0.37766,0.2406,0,62.3162
2014/7/20,Vpon - La Roche,La Roche Mobile,Laroche mobile PT - in app iOS,221511,195,0.09%,0,0,0.16894,0.1919,0,37.42146
2014/7/21,Vpon - La Roche,La Roche Mobile,Laroche mobile PT - in app non iOS,79331,92,0.12%,0,0,0.23955,0.20656,0,19.00358
2014/7/21,Vpon - La Roche,La Roche Mobile,Laroche mobile PT - web non iOS,43690,60,0.14%,1,1,0.47942,0.3491,20.94598,20.94598
